number,name,theme,subtheme,rating
76076,Captain America Jet Pursuit,Marvel Super Heroes,Comics,3.5
76077,Iron Man: Detroit Steel Strikes,Marvel Super Heroes,Comics,5.0
76078,Hulk vs. Red Hulk,Marvel Super Heroes,Comics,2.5
76079,Ravager Attack,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,3.0
76080,Ayesha's Revenge,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,4.0
76081,The Milano vs. The Abilisk,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,
76082,ATM Heist Battle,Marvel Super Heroes,Spider-Man: Homecoming,
76083,Beware the Vulture,Marvel Super Heroes,Spider-Man: Homecoming,
76084,The Ultimate Battle for Asgard,Marvel Super Heroes,Thor: Ragnarok,
76085,{?},DC Comics Super Heroes,DC Extended Universe,
76086,{?},DC Comics Super Heroes,DC Extended Universe,
76087,{?},DC Comics Super Heroes,DC Extended Universe,
76088,Thor vs. Hulk: Arena Clash,Marvel Super Heroes,Thor: Ragnarok,
853632,Batman Key Chain,Gear,Key Chains/The LEGO Batman Movie,
853633,The Joker Key Chain,Gear,Key Chains/The LEGO Batman Movie,
853634,Robin Key Chain,Gear,Key Chains/The LEGO Batman Movie,
853635,Catwoman Key Chain,Gear,Key Chains/The LEGO Batman Movie,
853636,Harley Quinn Key Chain,Gear,Key Chains/The LEGO Batman Movie,
853637,Batman Up scaled Mug,Gear,Housewares,
853638,Batman Minifigure Collector Frame,Gear,Storage,
853639, Batman Tumbler,Gear,Housewares,
853640,Batman 2x2 Lunch Box,Gear,Housewares,
853642,Batman Mask,Gear,Role-Play Toys,
853644,The Joker Mask,Gear,Role-Play Toys,
853645,Batgirl Mask,Gear,Role-Play Toys,
853646,Harley Quinn Hammer,Gear,Role-Play Toys,
853647,Batman Batarang,Gear,Role-Play Toys,
853648,Roblin Bag Charm,Gear,Bag charms,
853649, Batman Notebook with Stud Cover,Gear,Stationery,
853650,Movie Maker Set,The LEGO Batman Movie,,1.0
853651,The LEGO Batman Movie Accessory Set,The LEGO Batman Movie,,
853652,Batman Minifigure Plush,Gear,Plush,
853653,Batgirl Minifigure Plush,Gear,Plush,
853654,Aira the Wind Elf Key Chain,Gear,Key Chains/Elves,
853659,City Police Handcuffs,Gear,Role-Play Toys,
853660,The Joker Minifigure Plush,Gear,Plush,
853665,LEGO® Iconic Tumbler,Gear,Housewares,
853666,Shark Suit Guy Key Chain,Gear,Key Chains/Miscellaneous,
853667,Ballerina Key Chain,Gear,Key Chains/Miscellaneous,
853668,Iconic Drinking Bottle,Gear,Houseware,
853669,LEGO Shopper Bag,Gear,Housewares,
853676,Accessory Set,Nexo Knights,,
853677,Battle Pack,Nexo Knights,Battle Packs,
853678,Jestro s Sword,Gear,Role-Play Toys,
853679,Forbidden Power Shield,Gear,Role-Play Toys,
853680,Axl s Axe,Gear,Role-Play Toys,
853681,Nexo Knights Collect and Combine Combo Powers,Gear,Storage,
853682,Macy Key Chain,Gear,Key Chains/Nexo Knights,
853683,Jestro Key Chain,Gear,Key Chains/Nexo Knights,
853684,Lance Key Chain,Gear,Key Chains/Nexo Knights,
853685,Aaron Key Chain,Gear,Key Chains/Nexo Knights,
853686,Clay Key Chain,Gear,Key Chains/Nexo Knights,
853687,Accessory Set,Ninjago,The Hands of Time,5.0
853688,NINJAGO Time Blade Claw,Gear,Role-Play toys,
853689,NINJAGO Vermillion Sword,Gear,Role-Play toys,
853690,Kai Key Chain,Gear,Key Chains/Ninjago,
853691,Kai Minifigure Plush,Gear,Plush,
853692, Nya Minifigure Plush,Gear,Plush,
3850016,Beaver,Miscellaneous,Pick A Model,
3850017,Digger,Miscellaneous,Pick A Model,
3850031,Puffin,Miscellaneous,Pick A Model,
3850033,Guardsman,Miscellaneous,Pick A Model,
5004911,Crafting Kit,Nexo Knights,Miscellaneous,
5004913,Nexo Knights Collector Case,Gear,Storage,
5004914,Armor Pod,Nexo Knights,,
5004915,Master Wu keychain,The LEGO Ninjago Movie,Promotional,
5004928,Kiss Kiss Tuxedo Batman,Gear,Key Chains/The LEGO Batman Movie,5.0
5004929,Batman Battle Pod,The LEGO Batman Movie,Promotional,
5004930,Accessory pack,The LEGO Batman Movie,Promotional,5.0
5004931,Birthday Card,Promotional,,
5004932,Travel Building Suitcase,Miscellaneous,,
5005114,Aaron Kids Buildable Watch,Gear,Watches/Clocks,
5005116,Clay Kids Buildable Watch,Gear,Watches/Clocks,
5005119,Jay Kids Buildable Watch,Gear,Watches/Clocks,
5005120,Lloyd Kids Buildable Watch,Gear,Watches/Clocks,
5005122,Kai Kids Buildable Watch,Gear,Watches/Clocks,
5005167,Stormtrooper Minifigure Link Watch,Gear,Watches/Clocks,
5005175,Batman Hydration Bottle,Gear,Housewares,
5005207,Batman Lunch Set,Gear,Housewares,
5005208,Collector Box,Gear,Storage,
5005209,Minifigure Display Case,Gear,Storage,
5005219,Batman Minifigure Link Watch,Gear,Watches/Clocks,
5005220,Robin Minifigure Link Watch,Gear,Watches/Clocks,
